x_mm,y_mm,z_mm,status,reason,theta1_deg,theta2_deg,theta3_deg,fk_x_mm,fk_y_mm,fk_z_mm,roundtrip_error_mm,fk_iterations,fk_max_residual_mm2
-5.0,10.0,-265.0,ok,ok,2.041752424271895,4.291333464665697,6.111511337919317,-4.999999999998173,9.999999999998165,-265.00000000000074,2.6927819342785165e-12,4,2.9103830456733704e-11
0.0,10.0,-265.0,ok,ok,2.0634074866707266,5.223987480439986,5.223987480439986,0.0,9.999999999999492,-265.0000000000007,8.505244035152134e-13,4,1.8917489796876907e-10
5.0,10.0,-265.0,ok,ok,2.041752424271895,6.111511337919317,4.291333464665697,4.999999999998173,9.999999999998165,-265.00000000000074,2.6927819342785165e-12,4,2.9103830456733704e-11
10.0,10.0,-265.0,ok,ok,1.9767902518212965,6.953539600035104,3.313994905510484,9.99999999999971,9.999999999999643,-265.0000000000003,5.404622243831998e-13,4,0.0
15.0,10.0,-265.0,ok,ok,1.868529825943374,7.749787243506755,2.2924964680438316,14.999999999999796,10.000000000000366,-265.0,4.1908847202234873e-13,4,4.3655745685100555e-11
20.0,10.0,-265.0,ok,ok,1.7169852828244672,8.500049016469713,1.227439850842124,20.000000000024784,10.000000000012387,-265.0000000003201,3.2128220225473773e-10,4,1.7628190107643604e-07
25.0,10.0,-265.0,ok,ok,1.5221751027295707,9.20419794666172,0.11950089949623723,24.99999999999984,10.000000000000025,-264.9999999999998,2.790633414897383e-13,5,2.9103830456733704e-11
30.0,10.0,-265.0,fail,ik_reject,,,,,,,,,
-30.0,15.0,-265.0,fail,ik_reject,,,,,,,,,
-25.0,15.0,-265.0,ok,ok,0.3594017228345347,0.5385111602533598,9.613499384597167,-25.00000000000044,14.999999999999558,-264.99999999999983,6.471426680472797e-13,5,1.4551915228366852e-11
-20.0,15.0,-265.0,ok,ok,0.5540669718713499,1.6466176515216164,8.911190234454727,-20.00000000000109,15.00000000000058,-264.9999999999997,1.2679816287829033e-12,5,1.4551915228366852e-11
-15.0,15.0,-265.0,ok,ok,0.7054980863720329,2.711530966042126,8.16263603867998,-15.000000000003302,15.000000000003164,-265.0000000000624,6.258139023462258e-11,4,3.425520844757557e-08
-10.0,15.0,-265.0,ok,ok,0.8136771126302188,3.732595800282795,7.367940951798837,-9.999999999999135,15.000000000000028,-265.0000000000002,8.949189851450014e-13,4,5.820766091346741e-11
-5.0,15.0,-265.0,ok,ok,0.8785902931205002,4.709231880714932,6.527287184279508,-5.000000000009215,15.000000000005254,-264.99999999999744,1.0911736606350133e-11,4,2.9103830456733704e-11
0.0,15.0,-265.0,ok,ok,0.9002289994494314,5.64093666784365,5.64093666784365,-5.553825628556996e-17,15.00000000000092,-265.00000000000136,1.6455508607937044e-12,3,1.0186340659856796e-09
